date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:00	109/109	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20Oct%202023%2010:55:59%20GMT	https://ewebotwp.com/robots.txt		(from )
11:56:00	264962/264962	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2010:56:00%20GMT	https://ewebotwp.com/home-agency/	/home/famous/websites/MyMakertr/ewebotwp.com/home-agency/index.html	(from )
11:56:01	30788/30788	---MCZ	200	added ('OK')	text/css	etag:W/%2264dd3b4e-7844%22	https://ewebotwp.com/wp-content/plugins/woocommerce-ajax-filters/berocket/assets/css/font-awesome.min.css?ver=6.3.1	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/woocommerce-ajax-filters/berocket/assets/css/font-awesome.min9b30.css	(from https://ewebotwp.com/home-agency/)
11:56:02	152978/152978	---MCZ	200	added ('OK')	text/css	etag:W/%2264dd3b4e-25592%22	https://ewebotwp.com/wp-content/plugins/woocommerce-ajax-filters/assets/frontend/css/fullmain.min.css?ver=1.6.4.5	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/woocommerce-ajax-filters/assets/frontend/css/fullmain.mine440.css	(from https://ewebotwp.com/home-agency/)
11:56:03	175326/175326	---MC-	200	added ('OK')	application/rss+xml	etag:%22582b5b5335c6e80656167a2fd09864aa%22	https://ewebotwp.com/feed/	/home/famous/websites/MyMakertr/ewebotwp.com/feed/index.html	(from https://ewebotwp.com/home-agency/)
11:56:03	9921/9921	---MCZ	200	added ('OK')	text/css	etag:W/%22650c1d15-26c1%22	https://ewebotwp.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.16.4	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/elementor/assets/css/frontend-legacy.minafc7.css	(from https://ewebotwp.com/home-agency/)
11:56:03	1850/1850	---MC-	200	added ('OK')	application/rss+xml	etag:%22582b5b5335c6e80656167a2fd09864aa%22	https://ewebotwp.com/comments/feed/	/home/famous/websites/MyMakertr/ewebotwp.com/comments/feed/index.html	(from https://ewebotwp.com/home-agency/)
11:56:03	169697/169697	---MCZ	200	added ('OK')	text/css	etag:W/%22650c1d15-296e1%22	https://ewebotwp.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.16.4	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/elementor/assets/css/frontend.minafc7.css	(from https://ewebotwp.com/home-agency/)
11:56:05	15895/15895	---MCZ	200	added ('OK')	text/css	etag:W/%2265131d4f-3e17%22	https://ewebotwp.com/wp-content/uploads/elementor/css/post-12649.css?ver=1695751503	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/uploads/elementor/css/post-12649f93a.css	(from https://ewebotwp.com/home-agency/)
11:56:06	1877/1877	---MCZ	200	added ('OK')	text/css	etag:W/%2264eda08d-755%22	https://ewebotwp.com/wp-content/plugins/wpda-builder-pro/dist/css/frontend/mega-menu-frontend.css?ver=1693294733	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/wpda-builder-pro/dist/css/frontend/mega-menu-frontendd538.css	(from https://ewebotwp.com/home-agency/)
11:56:07	7205/7205	---MCZ	200	added ('OK')	text/css	etag:W/%2265131d1b-1c25%22	https://ewebotwp.com/wp-content/uploads/elementor/css/post-9684.css?ver=1695751451	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/uploads/elementor/css/post-9684efcb.css	(from https://ewebotwp.com/home-agency/)
11:56:08	16766/16766	---MCZ	200	added ('OK')	text/css	etag:W/%22650c1d1f-417e%22	https://ewebotwp.com/wp-content/uploads/elementor/css/post-9676.css?ver=1695292703	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/uploads/elementor/css/post-9676e37b.css	(from https://ewebotwp.com/home-agency/)
11:56:09	13557/13557	---MCZ	200	added ('OK')	text/css	etag:W/%22650c1d1f-34f5%22	https://ewebotwp.com/wp-content/uploads/elementor/css/post-12655.css?ver=1695292703	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/uploads/elementor/css/post-12655e37b.css	(from https://ewebotwp.com/home-agency/)
11:56:10	31155/31155	---MCZ	200	added ('OK')	text/css	etag:W/%2264eda08d-79b3%22	https://ewebotwp.com/wp-content/plugins/wpda-builder-pro/dist/css/frontend/frontend.css?ver=1693294733	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/wpda-builder-pro/dist/css/frontend/frontendd538.css	(from https://ewebotwp.com/home-agency/)
11:56:10	320755/320755	---MCZ	200	added ('OK')	text/css	etag:W/%2265213940-4e4f3%22	https://ewebotwp.com/wp-content/uploads/gt3-assets/css/header-p_12642.css?ver=1696676160	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/uploads/gt3-assets/css/header-p_12642ebee.css	(from https://ewebotwp.com/home-agency/)
11:56:12	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2264d31eac-19824%22	https://ewebotwp.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	/home/famous/websites/MyMakertr/ewebotwp.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://ewebotwp.com/home-agency/)
11:56:13	10351/10351	---MCZ	200	added ('OK')	text/css	etag:W/%226505bf0d-286f%22	https://ewebotwp.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.9.3	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style71f0.css	(from https://ewebotwp.com/home-agency/)
11:56:14	273024/273024	---MCZ	200	added ('OK')	text/css	etag:W/%226505bf0d-42a80%22	https://ewebotwp.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style.css?ver=10.9.3	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style71f0.css	(from https://ewebotwp.com/home-agency/)
11:56:15	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%226501949c-a46%22	https://ewebotwp.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://ewebotwp.com/home-agency/)
11:56:16	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Oct%202023%2010:56:16%20GMT	http://ewebotwp.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	/home/famous/websites/MyMakertr/ewebotwp.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.10005e.delayed	(from https://ewebotwp.com/home-agency/)
